Run,Brand,Compound,Dimensions,Item,DataOrigin,Run,RimWidth
65,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,run  65,7 inch
66,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,run  66,7 inch
67,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,run  67,7 inch
68,Hoosier,R20,18x6.0-10,item  43100,TTC Round 9,run  68,6 inch
69,Hoosier,R20,18x6.0-10,item  43100,TTC Round 9,run  69,6 inch
70,Hoosier,R20,18x6.0-10,item  43100,TTC Round 9,run  70,6 inch
71,Hoosier,R20,18x6.0-10,item  43100,TTC Round 9,run  71,7 inch
72,Hoosier,R20,18x6.0-10,item  43100,TTC Round 9,run  72,7 inch
73,Hoosier,R20,18x6.0-10,item  43100,TTC Round 9,run  73,7 inch
74,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,run  74,6 inch
75,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,run  75,6 inch
76,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,run  76,6 inch
77,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,run  77,7 inch
78,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,run  78,7 inch
79,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,run  79,7 inch
